analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,5,Motor,ridge,79,10.10825952974769,8.546719883426034,0.07071945601160823
repeat,6,Motor,mean_baseline,79,10.609435548180693,8.823877335744424,-0.02371398068991315
repeat,6,Motor,ridge,79,10.202718627515171,8.605136713282356,0.05327052968571566
repeat,7,Motor,mean_baseline,79,10.651913763288228,8.88304952782801,-0.03192791375208759
repeat,7,Motor,ridge,79,10.136172364978894,8.533370686807089,0.06558016011924428
repeat,8,Motor,mean_baseline,79,10.631733095098326,8.876371935905164,-0.028021523181221086
repeat,8,Motor,ridge,79,10.04579686764274,8.472386536579977,0.08216870594087444
repeat,9,Motor,mean_baseline,79,10.684245474654574,8.917986173899939,-0.03820183428919366
repeat,9,Motor,ridge,79,10.237113264546172,8.504243795460154,0.04687668434458547
repeat,10,Motor,mean_baseline,79,10.642412221563115,8.934870403857744,-0.030087768714579077
repeat,10,Motor,ridge,79,10.208577240916311,8.468755151970381,0.05218295398579276
repeat,11,Motor,mean_baseline,79,10.903481964826305,9.130422757183043,-0.08124595529362577
repeat,11,Motor,ridge,79,9.854217757987591,8.263427351997146,0.11684204152756184
repeat,12,Motor,mean_baseline,79,10.63790064151375,8.938339172694393,-0.029214594800169635
repeat,12,Motor,ridge,79,10.12354645950675,8.571851830385489,0.06790659030350088
repeat,13,Motor,mean_baseline,79,10.782166180650917,9.075048975286318,-0.05731920079417496
repeat,13,Motor,ridge,79,10.114211937388532,8.421248382405155,0.0696246908372754
repeat,14,Motor,mean_baseline,79,10.761680422305366,8.93439823186659,-0.05330527471445379
repeat,14,Motor,ridge,79,10.35173833610891,8.65192276791629,0.02541292353688429
repeat,15,Motor,mean_baseline,79,10.502220917458583,8.764063441832427,-0.0031280530840918086
repeat,15,Motor,ridge,79,10.21827663119371,8.69631097792199,0.0503810153658405
repeat,16,Motor,mean_baseline,79,10.568860789465463,8.830974984930682,-0.0158987636494341
repeat,16,Motor,ridge,79,9.759309203430934,8.246537113581105,0.1337719703702125
repeat,17,Motor,mean_baseline,79,10.531482481448748,8.811397428169581,-0.008725723925357087
repeat,17,Motor,ridge,79,10.820058537020127,9.023196618167386,-0.06476384881546338
repeat,18,Motor,mean_baseline,79,10.600828091962349,8.861200899136026,-0.0220535721214441
repeat,18,Motor,ridge,79,10.478134665695258,8.87635012793131,0.001467905884799392
repeat,19,Motor,mean_baseline,79,10.650504272929394,8.86978162045409,-0.031654836773329365
repeat,19,Motor,ridge,79,9.810405177835065,8.292700593135311,0.12467775469515929
repeat,20,Motor,mean_baseline,79,10.902999531437825,9.097933619650394,-0.08115027620473958
repeat,20,Motor,ridge,79,10.424162026716694,8.668258993245967,0.011728245545329252
pooled,pooled,Motor,mean_baseline,1580,10.505300668627191,8.770706280138638,-0.0037164691525382043
pooled,pooled,Motor,ridge,1580,11.404635770181974,9.427088451327776,-0.18292419923803926
