table_name,Subject_ID_D,Subject_ID_N,T2_date_iso,device_id,week_first_ts,week_rows,fallback_latest_ts,fallback_rows
significant,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
sensor_linear_accelerometer,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
barometer,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
applications_foreground,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
applications_foreground,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755423275892.0,3059
applications_foreground,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
battery,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
battery,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
battery,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
bluetooth,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
bluetooth,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
bluetooth,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
calls,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
calls,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
calls,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
gsm,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
gsm,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755423253388.0,55
gsm,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
keyboard,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
keyboard,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755099184317.0,395
keyboard,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
locations,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
locations,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755419751703.0,18
locations,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
messages,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
messages,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
messages,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
plugin_google_activity_recognition,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
plugin_google_activity_recognition,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
plugin_google_activity_recognition,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
screen,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
screen,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755423272122.0,164
screen,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
telephony,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
telephony,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755423253415.0,55
telephony,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
gsm_neighbor,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
gsm_neighbor,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755423253388.0,167
gsm_neighbor,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
touch,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
touch,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,,0
touch,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
significant,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
significant,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755419980574.0,99
significant,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
sensor_linear_accelerometer,012,4,2025-09-09,333d33c5-8033-4cc0-9425-e0fad00f3613,,0,,0
sensor_linear_accelerometer,012,4,2025-09-09,3b301a33-0640-4ca1-b5da-f92ce279a860,,0,1755404479992.0,11
sensor_linear_accelerometer,012,4,2025-09-09,6417d786-cd43-47c2-9379-ff1cf358cd2c,,0,,0
