table_name,json_key,n_sampled_rows,n_rows_with_key,percent_rows_with_key,inferred_value_type,example_values_compact,possible_feature_family,possible_feature_notes
calls,call_type,200,200,100.0,string,"""1"" | ""2"" | ""3""",social_behavior,communication-related key
calls,device_id,200,200,100.0,string,"""6faf770c-e0bf-4100-9b63-c6167630c854"" | ""ea530d49-d351-4456-8892-510264486b17""",unknown,table=calls key=device_id
calls,timestamp,200,200,100.0,number,1754294565132 | 1752077942160 | 1752079162941 | 1752126881306 | 1752126916664 | 1752140982425 | 1752143308001,unknown,table=calls key=timestamp
calls,trace,200,200,100.0,string,"""f89b1a2e031356b0f6c9337f09417c61fdbb1a99"" | ""129456eef4ea52c13e1809d6988859a4b6cb6758"" | ""f556a176967e4f6e9fd3e1cd296d9b361f46d64b"" | ""4e2297c7bb872ff58594136ba5ecaf73b26ad8ad"" | ""f534f7cd83f162c0fb2fe99f98301d0582aad2a9""",unknown,table=calls key=trace
gsm,bit_error_rate,200,200,100.0,string,"""2147483647""",unknown,table=gsm key=bit_error_rate
gsm,cid,200,200,100.0,string,"""3949591"" | ""-1"" | ""3949601"" | ""3538966""",unknown,table=gsm key=cid
gsm,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=gsm key=device_id
gsm,lac,200,200,100.0,string,"""923"" | ""65535""",unknown,table=gsm key=lac
gsm,psc,200,200,100.0,string,"""0""",unknown,table=gsm key=psc
gsm,signal_strength,200,200,100.0,string,"""99""",unknown,table=gsm key=signal_strength
gsm,timestamp,200,200,100.0,number,1743325074184 | 1743325074254 | 1743325075029 | 1743325078699 | 1743325078756 | 1743325105236 | 1743325134624 | 1743325143911 | 1743325243777,unknown,table=gsm key=timestamp
gsm_neighbor,cid,200,200,100.0,string,"""-1""",unknown,table=gsm_neighbor key=cid
gsm_neighbor,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=gsm_neighbor key=device_id
gsm_neighbor,lac,200,200,100.0,string,"""-1""",unknown,table=gsm_neighbor key=lac
gsm_neighbor,psc,200,200,100.0,string,"""233"" | ""274"" | ""275"" | ""234"" | ""70""",unknown,table=gsm_neighbor key=psc
gsm_neighbor,signal_strength,200,200,100.0,string,"""2"" | ""0"" | ""1"" | ""8"" | ""7"" | ""3""",unknown,table=gsm_neighbor key=signal_strength
gsm_neighbor,timestamp,200,200,100.0,number,1743325243777 | 1743326254249,unknown,table=gsm_neighbor key=timestamp
keyboard,before_text,200,200,100.0,string,"""""",unknown,table=keyboard key=before_text
keyboard,current_text,200,200,100.0,string,"""[a]""",unknown,table=keyboard key=current_text
keyboard,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=keyboard key=device_id
keyboard,is_password,200,200,100.0,string,"""0""",unknown,table=keyboard key=is_password
keyboard,package_name,200,200,100.0,string,"""com.android.settings""",unknown,table=keyboard key=package_name
keyboard,timestamp,200,200,100.0,number,1743325161331,unknown,table=keyboard key=timestamp
locations,accuracy,200,200,100.0,string,"""12.9421"" | ""206.692"" | ""97.282"" | ""260.213"" | ""48.1386"" | ""223.416"" | ""166.695"" | ""15.5833"" | ""46.8462"" | ""33.2251"" | ""184.041"" | ""148.32"" | ""254.972"" | ""109.31"" | ""179.945"" | ""39.6"" | ""1500"" | ""41.9817"" | ""56.0223"" | ""41.2977""",unknown,table=locations key=accuracy
locations,device_id,200,200,100.0,string,"""6faf770c-e0bf-4100-9b63-c6167630c854""",unknown,table=locations key=device_id
locations,double_altitude,200,200,100.0,mixed,353.302978515625 | 340.5120849609375 | 325.45361328125 | 362.9879150390625 | 344.0352783203125 | 342.7578125 | 374.3223876953125 | 908.9930419921876 | 331.6053466796875 | 312.91259765625 | 347.36749267578125 | 810.203125 | 297.16046142578125 | 302.0751953125 | 328.88623046875 | 341.8000183105469 | 0 | 386.315673828125 | 1023.34326171875 | 1006.184326171875,mobility,location/movement related key
locations,double_bearing,200,200,100.0,mixed,255.6999969482422 | 0 | 324.3999938964844 | 304.8999938964844 | 238.6000061035156 | 273 | 279.5 | 2.700000047683716,mobility,location/movement related key
locations,double_latitude,200,200,100.0,number,31.36392917 | 31.36361061 | 31.36372855 | 31.36373553 | 31.36362801 | 31.36341757 | 31.3635774 | 31.71716965 | 31.36317162 | 31.36371619 | 31.36378213 | 31.36502428 | 31.36342177 | 31.3633549 | 31.36376729 | 31.3638969 | 31.3711518 | 31.36365023 | 31.71705377 | 31.7171569,mobility,location/movement related key
