repeat,fold,model,feature,importance_mean,importance_std
1,1,extra_trees,missing__21,0.0,0.0
1,1,extra_trees,missing__22,0.0,0.0
1,1,extra_trees,missing__23,0.0,0.0
1,1,extra_trees,missing__24,0.0,0.0
1,1,extra_trees,missing__25,0.0,0.0
1,1,extra_trees,missing__26,0.0,0.0
1,1,extra_trees,missing__27,-0.04453048388946949,0.043217122686460246
1,1,extra_trees,missing__28,-0.04751981465189973,0.044125803666449755
1,1,extra_trees,missing__29,-0.024794622780325664,0.023148839623636053
1,1,extra_trees,missing__30,-0.0016712546505814885,0.016192382143390492
1,1,extra_trees,missing__31,0.010066522037584846,0.016572159167692873
1,1,extra_trees,missing__32,-0.01310351637965231,0.012429237238083046
1,1,extra_trees,missing__33,-0.016069816525136577,0.031117861767810298
1,1,extra_trees,missing__34,-0.017224543197124593,0.060301271376339574
1,1,extra_trees,missing__35,-0.01627913451124563,0.05122008663045395
1,1,extra_trees,missing__36,-0.014424119253626225,0.038286977479417776
1,1,extra_trees,missing__37,-0.0003378470288654493,0.0002994643914015509
1,1,extra_trees,missing__38,-0.019690642026087463,0.049272466024047494
1,1,extra_trees,missing__39,0.0,0.0
1,1,extra_trees,missing__40,0.0,0.0
1,1,extra_trees,missing__41,-8.343418428502503e-05,0.005718252614241795
1,1,extra_trees,missing__42,-4.434292922894656e-05,0.0018128253597867513
1,1,extra_trees,missing__43,-0.019130018208489474,0.018034154448506014
1,1,extra_trees,missing__44,-0.014259678194205113,0.013014958382089202
1,1,extra_trees,missing__45,-0.030198480094814073,0.028027778900518954
1,1,extra_trees,missing__46,-0.025452250268035215,0.023314941591106975
1,1,extra_trees,missing__47,-0.04010932141423318,0.03724186668158744
1,1,extra_trees,missing__48,-0.029615400105060512,0.05170067354084825
1,1,extra_trees,missing__49,-0.013769936073366296,0.029352952322750068
1,1,extra_trees,missing__50,-0.005817302944961966,0.012941788060849176
1,1,extra_trees,missing__51,-0.023828895841094894,0.0532914457987686
1,1,extra_trees,missing__52,-0.00825962466442102,0.01636911172450297
1,1,extra_trees,missing__53,-0.011147231973688795,0.023280615804542368
1,1,extra_trees,missing__54,-0.014641336418748688,0.030629261325833698
1,1,extra_trees,missing__55,-0.014772258371832455,0.03383522561411259
1,1,extra_trees,missing__56,-0.03317828073962422,0.03053752231551295
1,1,extra_trees,missing__57,-0.04314562198943861,0.04142230793795621
1,1,extra_trees,missing__58,-0.026891312052783316,0.023944711963611573
1,1,extra_trees,missing__59,0.0,0.0
1,1,extra_trees,missing__60,0.0,0.0
1,1,extra_trees,missing__61,0.0,0.0
1,1,extra_trees,missing__62,0.0,0.0
1,1,extra_trees,missing__63,0.0,0.0
1,1,extra_trees,missing__64,0.0,0.0
1,1,extra_trees,missing__65,0.0,0.0
1,1,extra_trees,missing__66,0.0,0.0
1,1,hist_gradient_boosting,barometer_downward_transition_count,0.0,0.0
1,1,hist_gradient_boosting,barometer_estimated_elevation_change_m,0.0,0.0
1,1,hist_gradient_boosting,barometer_large_vertical_shift_count,0.0,0.0
1,1,hist_gradient_boosting,barometer_pressure_range,0.0,0.0
1,1,hist_gradient_boosting,barometer_pressure_sd,0.0,0.0
1,1,hist_gradient_boosting,barometer_upward_transition_count,0.0,0.0
1,1,hist_gradient_boosting,sensor_linear_accelerometer_active_hour_count,0.0,0.0
1,1,hist_gradient_boosting,sensor_linear_accelerometer_event_count,0.0,0.0
1,1,hist_gradient_boosting,sensor_linear_accelerometer_maximum_range,0.0,0.0
1,1,hist_gradient_boosting,sensor_linear_accelerometer_power_ma,0.0,0.0
1,1,hist_gradient_boosting,sensor_linear_accelerometer_resolution,0.0,0.0
1,1,hist_gradient_boosting,significant_active_hour_count,0.0,0.0
1,1,hist_gradient_boosting,significant_motion_transition_count,0.0,0.0
1,1,hist_gradient_boosting,significant_moving_event_count,0.0,0.0
1,1,hist_gradient_boosting,significant_moving_fraction,0.0,0.0
1,1,hist_gradient_boosting,app_foreground_event_count,0.0,0.0
1,1,hist_gradient_boosting,app_use_diversity,0.2613534086843732,0.20409221424842666
1,1,hist_gradient_boosting,unique_foreground_apps,-0.013595019323490831,0.0027734078962057696
1,1,hist_gradient_boosting,charging_or_plugged_event_count,0.0,0.0
1,1,hist_gradient_boosting,low_battery_event_count,0.0,0.0
1,1,hist_gradient_boosting,bluetooth_address_diversity_ratio,0.0,0.0
