label,device_ids
069,6b52c7ac-43ac-4ce8-9c40-8b3479519f82
070,64a130a6-6b77-4bd1-9bc1-3822f765f538;6e3b48ff-8b7a-440f-9159-f74012fbc77f
071,7c226a0a-f3a4-4f01-9d49-fda590305078
072,0ec2a84f-e2e1-4744-98ae-5c4b34fe876f;35b5221b-88c2-463e-a891-40f38f79768d
073,6006c7a9-e2b1-4e01-a098-454a7b55bcfc;b266b238-3e48-4914-b45d-a3913c84d3dc;f93829cd-a27a-4fa8-a698-0b567c733252
074,4870fb6a-a6a6-458d-aba8-56ed070c200e;4b212ab8-f9dd-4e61-be16-1787edb030d3
075,b9efc1b2-cc84-4b53-90f4-88ff9ed9068e
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83;dbe9b835-d172-49ab-a554-c65a0bfadf77
077,444ce4c5-7ef7-4be0-a6f6-58e98a35ca12;c3b613d0-daa4-4d16-b116-1dcf30024a39
078,91ca65aa-efbb-4d7a-a8ad-b4ae1df3682c;dda728dc-feee-4444-8237-70f41c97d1c6
079,1d4afe7c-015b-4dc7-b690-a0cfb138024f
080,a64054ee-fd2c-4597-95c2-8a3c520f1d32;dda01e71-2d29-4c75-8394-9b2b4322ab3d
081,71f18562-7a3e-4b4f-9147-8ffa8549c019;7910786b-14dc-4f1c-a945-09c90f27aaf9;ee015026-b5e6-4b16-b1ba-eca95bedb94c
082,3826f2e3-e373-434d-9dc2-05e6f2c73ae4
083,e2cbb029-ed91-4120-ad5d-4bda56bdcb33
084,e2c73e09-d5c7-40b4-a8ea-eb3ac246fce4
085,b89546ef-9f57-4fd0-ad48-638a4a783d19;ba371144-2edb-4839-9fd5-1d0466e41510
086,3b3f73c4-f675-40fa-ba96-268da25d4534;4c21963e-e81d-48e9-b3f9-86113355161a
087,5013dc15-16ee-47df-876b-349a95732edb;52edeca1-615e-4163-832e-ba395caaa2eb;86db0ce4-51a9-4151-8fa9-dd7486f467be
