repeat,fold,feature,gradient_weight,extra_weight
3,1,activity_active_hour_count,1.1780118928039247,0.1780118928039247
3,1,activity_state_diversity,1.0144096064697063,0.014409606469706349
3,1,activity_still_fraction,1.0376448613475964,0.03764486134759637
3,1,activity_transition_count,1.0942241707967975,0.09422417079679746
3,1,activity_unknown_fraction,1.081331961200098,0.081331961200098
3,1,median_unlocked_session_duration_seconds,1.1638900941096346,0.16389009410963462
3,1,night_screen_event_count,1.0006991088964616,0.000699108896461631
3,1,screen_active_hour_count,1.0389188054319416,0.038918805431941594
3,1,screen_event_count,1.161076731792763,0.16107673179276305
3,1,screen_off_event_count,1.181542528789531,0.18154252878953092
3,1,screen_on_event_count,1.1553313977420723,0.15533139774207227
3,1,screen_transition_count,1.0330915521127741,0.03309155211277415
3,1,screen_unlock_event_count,1.2433891294743489,0.24338912947434888
3,1,telephony_event_count,1.029639371845829,0.029639371845828988
