analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
pooled,pooled,30,Motor,domain_group_ridge,290,11.581881174370057,9.315217878326397,-0.38510785607091047
repeat,1,20,Memory,ridge,20,21.883524821242418,17.453570728433057,-1.4548321642502207
repeat,2,20,Memory,ridge,20,17.81865080788924,15.086270081864225,-0.6275595479469545
repeat,3,20,Memory,ridge,20,24.010158274660263,17.57671698384703,-1.95513481840392
repeat,4,20,Memory,ridge,20,15.674745785134046,13.210623627781853,-0.25947127039459494
repeat,5,20,Memory,ridge,20,19.82532040880766,14.490846914315437,-1.0147802404751158
repeat,6,20,Memory,ridge,20,14.736798072902602,12.748347855988829,-0.11325208858676361
repeat,7,20,Memory,ridge,20,16.433877935648827,13.732014813001916,-0.38441841297829327
repeat,8,20,Memory,ridge,20,14.791283493593383,12.506966344141054,-0.12149921769452554
repeat,9,20,Memory,ridge,20,17.549902676830886,14.211091039297438,-0.5788347547992407
repeat,10,20,Memory,ridge,20,15.929616161475419,13.30329761993743,-0.3007621029933303
repeat,1,20,Memory,domain_group_ridge,20,14.261781201535486,11.6330528425448,-0.04264098339384326
repeat,2,20,Memory,domain_group_ridge,20,16.140646484774546,12.50121194444429,-0.3354545260737385
repeat,3,20,Memory,domain_group_ridge,20,17.09890551417831,12.910427622649905,-0.4987316474410366
repeat,4,20,Memory,domain_group_ridge,20,15.022275809586066,12.110511948090291,-0.15680116105841035
repeat,5,20,Memory,domain_group_ridge,20,14.428393918640763,11.052854140359745,-0.06714451031099933
repeat,6,20,Memory,domain_group_ridge,20,15.486660036205292,11.620445834048734,-0.22942710209656614
repeat,7,20,Memory,domain_group_ridge,20,15.952882942349275,12.12761369811901,-0.30456466153525974
repeat,8,20,Memory,domain_group_ridge,20,16.99946414689869,13.068753114765718,-0.48135011934434035
repeat,9,20,Memory,domain_group_ridge,20,16.671037497118192,12.917136428602893,-0.4246641953573962
repeat,10,20,Memory,domain_group_ridge,20,15.400123508982182,12.076216733935562,-0.21572587703457868
pooled,pooled,20,Memory,mean_baseline,200,14.078542016576147,11.173812499999999,-0.016020839206992044
pooled,pooled,20,Memory,ridge,200,18.059232465440232,13.351454079514804,-0.671805809108112
pooled,pooled,20,Memory,domain_group_ridge,200,16.225888264932173,12.504033789606044,-0.34959734460766634
repeat,1,20,Executive function,ridge,20,11.7641511747092,9.78299318066604,-0.61276520481203
repeat,2,20,Executive function,ridge,20,11.278528071297359,9.68686833297353,-0.48236380121104316
repeat,3,20,Executive function,ridge,20,11.253583165496975,9.484403574977781,-0.4758139157366179
repeat,4,20,Executive function,ridge,20,11.14073629629283,8.990860377084527,-0.44636445576089834
repeat,5,20,Executive function,ridge,20,12.109224844003425,10.064782821668443,-0.7087661727516048
repeat,6,20,Executive function,ridge,20,9.385400432495423,7.758677097536835,-0.02649199041496675
repeat,7,20,Executive function,ridge,20,9.522286899815548,7.8100166283195644,-0.05665320865514545
repeat,8,20,Executive function,ridge,20,9.92316666423072,8.330492360310949,-0.14749426243876007
repeat,9,20,Executive function,ridge,20,9.963937158563205,8.243829342881451,-0.15694286256760837
repeat,10,20,Executive function,ridge,20,11.33345086523378,9.406162135132139,-0.4968362208103767
repeat,1,20,Executive function,domain_group_ridge,20,11.314114521473378,9.24844326448626,-0.49173298270430355
repeat,2,20,Executive function,domain_group_ridge,20,9.49763915993565,7.9042287821068555,-0.051190149819177355
repeat,3,20,Executive function,domain_group_ridge,20,9.728924874582992,8.187145116101442,-0.10301051147945639
repeat,4,20,Executive function,domain_group_ridge,20,11.513344869628407,9.016625794997896,-0.5447314151218097
repeat,5,20,Executive function,domain_group_ridge,20,9.903391260615424,8.093652146070983,-0.14292524694372788
repeat,6,20,Executive function,domain_group_ridge,20,9.37564973343192,7.749728945118635,-0.024360208128453076
repeat,7,20,Executive function,domain_group_ridge,20,19.05121888675366,11.330656260740573,-3.2295628728598587
repeat,8,20,Executive function,domain_group_ridge,20,9.911119416775504,8.324376260563994,-0.14470971670276578
repeat,9,20,Executive function,domain_group_ridge,20,9.729217338893998,8.159861205413122,-0.10307682837719989
repeat,10,20,Executive function,domain_group_ridge,20,9.841963086603384,8.188149176428173,-0.12879068057837362
pooled,pooled,20,Executive function,mean_baseline,200,9.334732772688247,7.801187499999998,-0.015438747051708335
pooled,pooled,20,Executive function,ridge,200,9.748799315242588,7.950206929062395,-0.10752161795817816
pooled,pooled,20,Executive function,domain_group_ridge,200,11.248418424618537,8.237618021082456,-0.474459600888657
repeat,1,20,Processing speed,ridge,17,12.536848804739721,10.700950203249436,0.012320746509764224
repeat,2,20,Processing speed,ridge,17,15.2550403988882,12.479605211021621,-0.4623989919052067
repeat,3,20,Processing speed,ridge,17,17.078152437195005,14.63979839178157,-0.8328246883108568
repeat,4,20,Processing speed,ridge,17,13.599601946877627,10.695208389258509,-0.1622285745617289
repeat,5,20,Processing speed,ridge,17,14.98727662115446,10.992894440379484,-0.4115120862368995
repeat,6,20,Processing speed,ridge,17,11.557208550383269,9.236089127379246,0.16064621100755472
repeat,7,20,Processing speed,ridge,17,13.77865972790558,10.643367237680424,-0.1930347811207047
repeat,8,20,Processing speed,ridge,17,14.358728528566347,11.726538187977875,-0.29560055126913354
repeat,9,20,Processing speed,ridge,17,16.229059958609405,13.540335324879477,-0.6551062717250724
repeat,10,20,Processing speed,ridge,17,17.084717520376962,13.135901564425394,-0.834234086586304
repeat,1,20,Processing speed,domain_group_ridge,17,13.022553201090538,10.464644718163486,-0.0656913371952832
repeat,2,20,Processing speed,domain_group_ridge,17,11.598700999474111,10.286331776652622,0.15460853131838115
repeat,3,20,Processing speed,domain_group_ridge,17,17.37053086986271,14.41463496445541,-0.8961178973580186
repeat,4,20,Processing speed,domain_group_ridge,17,14.023613825992653,11.074936653601636,-0.23583087944042447
repeat,5,20,Processing speed,domain_group_ridge,17,14.734472374078159,11.450729141192415,-0.36429514139476504
repeat,6,20,Processing speed,domain_group_ridge,17,14.928322045900778,12.076380936538722,-0.40042916191023536
repeat,7,20,Processing speed,domain_group_ridge,17,16.818438649083255,13.989415714514237,-0.7775036674321414
repeat,8,20,Processing speed,domain_group_ridge,17,13.964114143406432,10.827282012165732,-0.22536630798582613
repeat,9,20,Processing speed,domain_group_ridge,17,15.433609471023267,12.564941268693346,-0.49683582289159656
repeat,10,20,Processing speed,domain_group_ridge,17,16.41133717778664,13.511468802521255,-0.692493819704662
pooled,pooled,20,Processing speed,mean_baseline,170,12.722584518120382,9.929886877828054,-0.01716133728757785
pooled,pooled,20,Processing speed,ridge,170,17.008340758290785,12.596307215753923,-0.8178709574183061
pooled,pooled,20,Processing speed,domain_group_ridge,170,16.011541095547752,12.093190257922194,-0.6110366615319975
repeat,1,20,Attention,ridge,20,11.422270467793346,9.129431905364564,-0.3308542070902214
repeat,2,20,Attention,ridge,20,19.0622659277467,13.79553157680115,-2.7065908588890952
repeat,3,20,Attention,ridge,20,11.91946168663279,9.465543987568116,-0.44923524234050594
repeat,4,20,Attention,ridge,20,11.836636807928206,9.274803806206025,-0.4291645881450268
repeat,5,20,Attention,ridge,20,11.543527382731217,9.090483594292316,-0.35926044074093477
repeat,6,20,Attention,ridge,20,10.470726546506613,8.04343364785248,-0.11835385220934236
repeat,7,20,Attention,ridge,20,11.15547370776842,8.78424113556398,-0.2694091854309202
repeat,8,20,Attention,ridge,20,18.83774055383149,13.289863185841174,-2.619788742299174
repeat,9,20,Attention,ridge,20,15.104345255082707,11.455247323705624,-1.3271769728119853
repeat,10,20,Attention,ridge,20,12.860989259389079,10.991939725025944,-0.6872302520146427
repeat,1,20,Attention,domain_group_ridge,20,9.772038938753695,7.472448499077531,0.025916963358501466
repeat,2,20,Attention,domain_group_ridge,20,10.729095325026009,8.519386905798932,-0.1742263190557607
