analysis_scope,repeat,model,n_predictions,rmse,mae,r2,cohort_size
pooled,pooled,random_forest,200,7.542946700840934,5.594149206349207,-0.0215445054811223,20
pooled,pooled,extra_trees,200,7.60346659277918,5.565411314153438,-0.038002736771677315,20
pooled,pooled,hist_gradient_boosting,200,7.678406405989054,5.686495600326447,-0.05856469188208391,20
pooled,pooled,xgboost,200,7.531891518460245,5.636867820739747,-0.018552283658162416,20
repeat,1,elastic_net,10,7.642125786974301,6.6871288569959235,0.34077545803815956,10
repeat,1,pls,10,9.129607609683791,7.4746389142355385,0.05917418023959031,10
repeat,1,spline_ridge,10,10.965290832287478,8.61455125850151,-0.35720457057285926,10
repeat,1,random_forest,10,10.120630110128603,7.641141666666684,-0.15616577354009764,10
repeat,1,extra_trees,10,10.091630195364962,7.570000000000195,-0.1495494519263214,10
repeat,1,hist_gradient_boosting,10,10.091630195364871,7.570000000000002,-0.14954945192630076,10
repeat,1,xgboost,10,10.09162973911172,7.569999694824219,-0.1495493479816381,10
repeat,2,elastic_net,10,8.654374538118738,7.04008008566349,0.15457248844944527,10
repeat,2,pls,10,9.953793516638337,8.071189553033289,-0.11836163012132439,10
repeat,2,spline_ridge,10,10.745294824625118,8.24781949234403,-0.30329183830291107,10
repeat,2,random_forest,10,10.297805702939154,7.472883333333326,-0.19700066140757633,10
repeat,2,extra_trees,10,10.283965067035371,7.467500000000101,-0.19378519642274883,10
repeat,2,hist_gradient_boosting,10,10.283965067035188,7.467500000000004,-0.19378519642270642,10
repeat,2,xgboost,10,10.28396562455269,7.467500305175781,-0.1937853258584159,10
repeat,3,elastic_net,10,6.849264938091563,5.46090608834959,0.47046711623078785,10
repeat,3,pls,10,9.551418598065318,8.26206751450466,-0.029771246369236337,10
repeat,3,spline_ridge,10,10.918343083970598,8.386833407813624,-0.3456077426687998,10
repeat,3,random_forest,10,10.827099443994209,8.307641666666717,-0.3232114643420765,10
repeat,3,extra_trees,10,10.790455852279942,8.2375,-0.31426998005468243,10
repeat,3,hist_gradient_boosting,10,10.79045585227983,8.2375,-0.31426998005465534,10
repeat,3,xgboost,10,10.790456182118788,8.2375,-0.31427006040296557,10
repeat,4,elastic_net,10,6.753261068814606,5.791939306578136,0.4852076532380768,10
repeat,4,pls,10,8.836094467362416,7.217108356357803,0.11869607520136993,10
repeat,4,spline_ridge,10,10.531464202660526,8.143814215967769,-0.2519371168752078,10
repeat,4,random_forest,10,10.32060663480673,7.780533333333347,-0.20230721825554054,10
repeat,4,extra_trees,10,10.282050500751222,7.707499999999905,-0.19334074370060583,10
repeat,4,hist_gradient_boosting,10,10.282050500751296,7.707499999999999,-0.19334074370062315,10
repeat,4,xgboost,10,10.282050251435669,7.707499694824219,-0.19334068582919106,10
repeat,5,elastic_net,10,7.754632369517455,5.874899116181789,0.3212225109646585,10
repeat,5,pls,10,8.27560717491844,6.714177988239625,0.226955065817815,10
repeat,5,spline_ridge,10,10.468976486981854,7.772093888511494,-0.23712462719564043,10
repeat,5,random_forest,10,10.365351057261783,7.662491666666677,-0.2127548905633565,10
repeat,5,extra_trees,10,10.353224135505098,7.637500000000299,-0.20991883023435798,10
repeat,5,hist_gradient_boosting,10,10.353224135504847,7.637500000000003,-0.20991883023429914,10
repeat,5,xgboost,10,10.353224396371234,7.6375,-0.20991889120606078,10
repeat,6,elastic_net,10,10.156440389475314,8.843383568205303,-0.16436207500404043,10
repeat,6,pls,10,11.10671405072329,9.612573053949415,-0.39243902113771023,10
repeat,6,spline_ridge,10,12.25013333199641,9.906393049762716,-0.6938955804376403,10
