repeat,fold,feature_scope,term_name,coefficient,ridge_alpha
1,1,t1_week_all_available,outgoing_message_count,0.07388172645684755,356.2247890262444
1,1,t1_week_all_available,activity_active_hour_count,-0.04864982003351876,356.2247890262444
1,1,t1_week_all_available,activity_state_diversity,0.028348011929258746,356.2247890262444
1,1,t1_week_all_available,activity_still_fraction,-0.032936718882895344,356.2247890262444
1,1,t1_week_all_available,activity_transition_count,-0.08937362751620935,356.2247890262444
1,1,t1_week_all_available,activity_unknown_fraction,0.06356817970443726,356.2247890262444
1,1,t1_week_all_available,median_unlocked_session_duration_seconds,-0.003490425404543279,356.2247890262444
1,1,t1_week_all_available,night_screen_event_count,-0.06569491718873322,356.2247890262444
1,1,t1_week_all_available,screen_active_hour_count,-0.017445931740209572,356.2247890262444
1,1,t1_week_all_available,screen_event_count,0.12726245246902812,356.2247890262444
1,1,t1_week_all_available,screen_off_event_count,0.09922323156788025,356.2247890262444
1,1,t1_week_all_available,screen_on_event_count,0.14098234553839442,356.2247890262444
1,1,t1_week_all_available,screen_transition_count,-0.049551113301155345,356.2247890262444
1,1,t1_week_all_available,screen_unlock_event_count,0.21259367894114006,356.2247890262444
1,1,t1_week_all_available,telephony_event_count,0.06893845033363147,356.2247890262444
1,1,t1_week_all_available,telephony_mobile_data_enabled_fraction,-0.376767173619314,356.2247890262444
1,1,t1_week_all_available,telephony_network_type_diversity,0.09847639992057852,356.2247890262444
1,1,t1_week_all_available,touch_active_hour_count,0.06051371839405692,356.2247890262444
1,1,t1_week_all_available,touch_app_diversity,-0.07186963436948518,356.2247890262444
1,1,t1_week_all_available,touch_click_event_count,0.07661861308071909,356.2247890262444
1,1,t1_week_all_available,touch_distinct_event_count,0.07385168584121721,356.2247890262444
1,1,t1_week_all_available,touch_scroll_direction_change_count,0.06371471823563508,356.2247890262444
1,1,t1_week_all_available,touch_scroll_event_count,0.06667773561917156,356.2247890262444
1,1,t1_week_all_available,touch_scroll_index_change_median,0.06498509428890814,356.2247890262444
1,1,t1_week_all_available,touch_unique_app_count,0.011015007086091863,356.2247890262444
1,1,t1_week_all_available,missingindicator_app_foreground_event_count,-0.034167769906136666,356.2247890262444
1,1,t1_week_all_available,missingindicator_app_use_diversity,-0.034167769906136666,356.2247890262444
1,1,t1_week_all_available,missingindicator_unique_foreground_apps,-0.034167769906136666,356.2247890262444
1,1,t1_week_all_available,missingindicator_bluetooth_address_diversity_ratio,-0.043212676397174285,356.2247890262444
1,1,t1_week_all_available,missingindicator_unique_bluetooth_addresses,-0.043212676397174285,356.2247890262444
1,1,t1_week_all_available,missingindicator_call_event_count,-0.02440733944337942,356.2247890262444
1,1,t1_week_all_available,missingindicator_incoming_call_count,-0.02440733944337942,356.2247890262444
1,1,t1_week_all_available,missingindicator_missed_rejected_blocked_call_count,-0.02440733944337942,356.2247890262444
1,1,t1_week_all_available,missingindicator_outgoing_call_count,-0.02440733944337942,356.2247890262444
1,1,t1_week_all_available,missingindicator_total_call_duration_seconds,-0.02440733944337942,356.2247890262444
1,1,t1_week_all_available,missingindicator_gsm_cell_transition_count,0.09038104518359487,356.2247890262444
