analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,15,Memory,working_10pct_delta_ridge,61,11.209596672373625,8.405350633798799,-0.09915050936333603
repeat,16,Memory,mean_baseline,61,10.743882877669552,7.9111917307906765,-0.009717126507827967
repeat,16,Memory,working_10pct_delta_ridge,61,10.773741970362007,7.9468365965933865,-0.015337279401756554
repeat,17,Memory,mean_baseline,61,10.78935932123344,7.999694713951153,-0.01828302869835463
repeat,17,Memory,working_10pct_delta_ridge,61,10.823113297224408,8.071365478966841,-0.02466429083278676
repeat,18,Memory,mean_baseline,61,10.922002074286041,8.049937269989961,-0.04347416604463472
repeat,18,Memory,working_10pct_delta_ridge,61,10.941886750208393,8.072737960534946,-0.04727713797343336
repeat,19,Memory,mean_baseline,61,10.914257876412652,8.08436071149771,-0.04199494904582113
repeat,19,Memory,working_10pct_delta_ridge,61,11.003501548322234,8.165850794281853,-0.05910497934776515
repeat,20,Memory,mean_baseline,61,10.772208146250374,7.99037582246013,-0.015048199164376497
repeat,20,Memory,working_10pct_delta_ridge,61,10.82516928646981,8.064481578765685,-0.025053624068330116
repeat,1,Memory,mean_baseline,61,10.760036061075434,7.997891574662652,-0.01275558235940566
repeat,1,Memory,domain_group_10pct_delta_ridge,61,10.847769593174252,8.087742129522884,-0.029338214673810592
repeat,2,Memory,mean_baseline,61,10.745455433062896,7.93169538307126,-0.010012727704328483
repeat,2,Memory,domain_group_10pct_delta_ridge,61,10.876820026432593,8.054757251072827,-0.034858752465199316
repeat,3,Memory,mean_baseline,61,10.84711683605549,8.06551731348277,-0.02921433895435044
repeat,3,Memory,domain_group_10pct_delta_ridge,61,10.859119723563271,8.074832052748214,-0.031493355402980594
repeat,4,Memory,mean_baseline,61,10.877675610509208,7.988224183115869,-0.035021565399801835
repeat,4,Memory,domain_group_10pct_delta_ridge,61,10.919337557423846,8.025064085384242,-0.04296509905379908
repeat,5,Memory,mean_baseline,61,11.068405959148278,8.148076279692203,-0.07163613924385825
repeat,5,Memory,domain_group_10pct_delta_ridge,61,11.186306340919407,8.254499831122006,-0.09458781435634389
repeat,6,Memory,mean_baseline,61,10.899214196493407,8.05633364001338,-0.03912445880471793
repeat,6,Memory,domain_group_10pct_delta_ridge,61,10.907565938024588,8.06001342418369,-0.04071756887285449
repeat,7,Memory,mean_baseline,61,10.948391459121641,7.976164687186349,-0.04852267413191291
repeat,7,Memory,domain_group_10pct_delta_ridge,61,10.957250601793952,7.988465772610619,-0.05022023312197743
repeat,8,Memory,mean_baseline,61,10.83604127595997,7.9108627467380375,-0.027113632225092887
repeat,8,Memory,domain_group_10pct_delta_ridge,61,10.985559618702366,8.067073871209805,-0.05565391523001484
repeat,9,Memory,mean_baseline,61,10.70722779683336,7.918087152893943,-0.002839142570508546
repeat,9,Memory,domain_group_10pct_delta_ridge,61,10.791243740710557,8.046410279023789,-0.018638756946165236
repeat,10,Memory,mean_baseline,61,10.75590469728867,7.9362077617932405,-0.011978027624554466
repeat,10,Memory,domain_group_10pct_delta_ridge,61,10.762951898205475,7.941349942722164,-0.013304545286917158
repeat,11,Memory,mean_baseline,61,10.916800942522803,8.090225967436153,-0.04248058366910912
repeat,11,Memory,domain_group_10pct_delta_ridge,61,11.086880982116673,8.24171423780869,-0.07521660527794283
repeat,12,Memory,mean_baseline,61,10.905997983665618,7.9646035463365665,-0.04041838565030975
repeat,12,Memory,domain_group_10pct_delta_ridge,61,10.91149681479984,7.970711376297563,-0.041467813187853864
repeat,13,Memory,mean_baseline,61,10.924697922477083,8.004191061670568,-0.04398934542151012
repeat,13,Memory,domain_group_10pct_delta_ridge,61,10.93396933789162,8.011210197183093,-0.04576209304447376
repeat,14,Memory,mean_baseline,61,10.783283936040105,8.016249163599865,-0.01713658066890078
repeat,14,Memory,domain_group_10pct_delta_ridge,61,10.790401013733664,8.023922677193593,-0.01847966484117669
repeat,15,Memory,mean_baseline,61,11.190679092292838,8.397915272666442,-0.09544373510837478
repeat,15,Memory,domain_group_10pct_delta_ridge,61,11.196629844091868,8.398314641283058,-0.09660907045901679
repeat,16,Memory,mean_baseline,61,10.743882877669552,7.9111917307906765,-0.009717126507827967
repeat,16,Memory,domain_group_10pct_delta_ridge,61,10.775735825084947,7.906599439440524,-0.015713123256688277
repeat,17,Memory,mean_baseline,61,10.78935932123344,7.999694713951153,-0.01828302869835463
repeat,17,Memory,domain_group_10pct_delta_ridge,61,10.801608688835094,8.021393925680327,-0.020596493913769498
repeat,18,Memory,mean_baseline,61,10.922002074286041,8.049937269989961,-0.04347416604463472
repeat,18,Memory,domain_group_10pct_delta_ridge,61,10.931332961114832,8.054109825592898,-0.045257849722210475
repeat,19,Memory,mean_baseline,61,10.914257876412652,8.08436071149771,-0.04199494904582113
repeat,19,Memory,domain_group_10pct_delta_ridge,61,11.058418234506073,8.210733263657987,-0.06970300133333995
